"id","artists"
"110660","Dan Graham"
"110660","Frank Lloyd Wright"
"110660","Marcel Breuer"
"110660","Vik Muniz"
"111517","Thomas Hirschhorn"
"124570","Hito Steyerl"
"124569","Kazimir Malevich"
"124569","László Moholy-Nagy"
"136844","Gerhard Richter"
"134242","Hito Steyerl"
"75639","Hito Steyerl"
"75639","Kara Walker"
"75639","Liam Gillick"
"75638","Hito Steyerl"
"75638","Martha Rosler"
"185279","Hito Steyerl"
"185279","Luis Camnitzer"
"185279","Martha Rosler"
"92242","Hito Steyerl"
"92242","Luis Camnitzer"
"92242","Martha Rosler"
"92242","Walid Raad"
"185319","Martha Rosler"
"105932","Martha Rosler"
"185389","Tania Bruguera"
"106137","Tania Bruguera"
"185436","Luis Camnitzer"
"106230","Luis Camnitzer"
"185535","Frank Gehry"
"185535","Taryn Simon"
"106388","Frank Gehry"
"106388","Taryn Simon"
"185878","Luis Camnitzer"
"106902","Luis Camnitzer"
"186211","Liu Ding"
"107494","Liu Ding"
"186263","Liu Ding"
"186263","Luis Camnitzer"
"107583","Liu Ding"
"107583","Luis Camnitzer"
"186465","Walid Raad"
"107992","Walid Raad"
"108162","Manal Al Dowayan"
"108162","Walid Raad"
"108254","Walid Raad"
"186681","Kazimir Malevich"
"108455","John Russell"
"108511","Martha Rosler"
"187021","Hito Steyerl"
"187021","Yves Klein"
"108908","Hito Steyerl"
"108908","Yves Klein"
"187054","Sol LeWitt"
"108977","Ilya Kabakov"
"108977","Sol LeWitt"
"187169","Hito Steyerl"
"109126","Hito Steyerl"
"187685","Luis Camnitzer"
"109793","Luis Camnitzer"
"186729","David Lynch"
"186729","Julian Opie"
"186729","Laura Lima"
"186729","Luca Trevisani"
"186729","Maria Loboda"
"186729","Nina Beier"
"186729","Robin Rhode"
"186729","Ryan McGinley"
"187776","Allyson Vieira"
"187851","Claudio Parmiggiani"
"187851","Cornelia Parker"
"187851","Dana Schutz"
"187851","Lynn Hershman Leeson"
"187851","Nina Beier"
"187851","Paul McCarthy"
"187851","Richard Prince"
"187851","Sarah Ortmeyer"
"187851","Wade Guyton"
"296551","Alfredo Jaar"
"296551","David Diao"
"296551","Tania Bruguera"
"296551","Walid Raad"
"266732","Adrian Piper"
"215962","Alfredo Jaar"
"215962","David Diao"
"215962","Tania Bruguera"
"215962","Walid Raad"
"151642","Alfredo Jaar"
"151642","David Diao"
"151642","Tania Bruguera"
"151642","Walid Raad"
"184902","Zanele Muholi"
"105265","Alfredo Jaar"
"105265","David Diao"
"105265","Tania Bruguera"
"105265","Walid Raad"
"106285","Alfredo Jaar"
"106285","David Diao"
"106285","Tania Bruguera"
"106285","Walid Raad"
"107204","Alfredo Jaar"
"107204","David Diao"
"107204","Tania Bruguera"
"107204","Walid Raad"
"108311","Ann Hamilton"
"108311","Robert Morris"
"108311","William Kentridge"
"455841","Anthony McCall"
"455841","Joan Jonas"
"455841","Nancy Holt"
"455841","Robert Smithson"
"455841","Rosa Barba"
"455841","Wolfgang Tillmans"
"447142","Anthony McCall"
"447142","Joan Jonas"
"447142","Nancy Holt"
"447142","Robert Smithson"
"447142","Rosa Barba"
"447142","Wolfgang Tillmans"
"311515","Nancy Holt"
"311515","Richard Serra"
"271858","Adrian Piper"
"271858","Alighiero Boetti"
"271858","Bruce Nauman"
"271858","Gavin Turk"
"271858","Joseph Beuys"
"271858","Marcel Broodthaers"
"271858","On Kawara"
"271858","Rosemarie Trockel"
"271858","Tony Conrad"
"271858","Tracey Emin"
"231601","Sarah Oppenheimer"
"208595","Barbara Kruger"
"208595","Jac Leirner"
"208595","Kerry James Marshall"
"208595","Sarah Lucas"
"216254","Alfredo Jaar"
"216254","Dan Graham"
"183436","Julian Stanczak"
"183436","Sarah Morris"
"158953","Sarah Oppenheimer"
"140809","HU"
"140809","Michel Blazy"
"144981","Anni Albers"
"144981","Ashley Bickerton"
"144981","Brigitte Kowanz"
"144981","Claude Viallat"
"144981","Dadamaino"
"144981","Etel Adnan"
"144981","Frank Bowling"
"144981","Haegue Yang"
"144981","Hans Hofmann"
"144981","Hiwa K"
"144981","Hélio Oiticica"
"144981","Joan Snyder"
"144981","Kiki Kogelnik"
"78527","Alighiero Boetti"
"78527","Christian Boltanski"
"78527","Claude Closky"
"78527","Diego Perrone"
"78527","Dieter Roth"
"78527","John Miller"
"78527","Liam Gillick"
"78527","Luca Vitone"
"78527","Maurizio Cattelan"
"78527","Peter Halley"
"78527","Sarah Ortmeyer"
"78527","Tacita Dean"
"90912","Keith Haring"
"145344","Allen Ruppersberg"
"145344","Barbara Bloom"
"145344","Dominique Gonzalez-Foerster"
"145344","Julian Stanczak"
"145344","Luisa Lambri"
"145344","Sarah Morris"
"145344","Yinka Shonibare"
"134478","Alfredo Jaar"
"134478","Jessica Stockholder"
"134478","John Baldessari"
"134478","Josiah McElheny"
"134478","Liam Gillick"
"134478","Lynn Hershman Leeson"
"134478","Marcel Duchamp"
"134478","Ricky Swallow"
"90899","Keith Haring"
"105379","Wangechi Mutu"
"185197","Albert Oehlen"
"185197","Carlo Scarpa"
"185197","Hans Haacke"
"185197","Rebecca Warren"
"185463","Frank Stella"
"185463","Nina Beier"
"106664","Luca Buvoli"
"106664","Sarah Sze"
"106664","Wangechi Mutu"
"108684","Tony Feher"
"495377","Andrea Zittel"
"495377","Wangechi Mutu"
"421878","Andrea Zittel"
"421878","Wangechi Mutu"
"352894","Andrea Zittel"
"352894","Wangechi Mutu"
"312470","Dan Graham"
"312470","Julie Mehretu"
"312470","Lawrence Weiner"
"312470","Ugo Rondinone"
"312470","Xaviera Simmons"
"292616","Wangechi Mutu"
"227554","Charles Long"
"213984","Wangechi Mutu"
"168783","Wangechi Mutu"
"158213","Wangechi Mutu"
"184522","Jimmie Durham"
"77826","Dan Graham"
"77826","Jan Dibbets"
"77826","Richard Prince"
"77826","Sol LeWitt"
"77826","Walid Raad"
"77826","Wolfgang Tillmans"
"105308","Josiah McElheny"
"105308","Mark Dion"
"105308","Rirkrit Tiravanija"
"105308","Sarah Sze"
"105367","Dana Schutz"
"105367","Iman Issa"
"105367","Josiah McElheny"
"105367","Mark Dion"
"105367","Rirkrit Tiravanija"
"105367","Sarah Sze"
"105466","Martha Rosler"
"105466","Paul McCarthy"
"105466","Robert Irwin"
"105466","Shirin Neshat"
"105466","Stephen Prina"
"105466","Takashi Murakami"
"10985","Pierre Huyghe"
"10985","Zanele Muholi"
"106096","Martha Rosler"
"106096","Paul McCarthy"
"106096","Robert Irwin"
"106096","Shirin Neshat"
"106096","Stephen Prina"
"106096","Takashi Murakami"
"106281","Alfredo Jaar"
"106281","Kendell Geers"
"106281","Lorna Simpson"
"106281","Rafael Lozano-Hemmer"
"106281","Rainer Ganahl"
"106281","Walid Raad"
"185472","Olivier Mosset"
"185472","Steven Claydon"
"106713","Ann Hamilton"
"106713","Josh Kline"
"107076","Martha Rosler"
"107076","Paul McCarthy"
"107076","Robert Irwin"
"107076","Shirin Neshat"
"107076","Stephen Prina"
"107076","Takashi Murakami"
"107323","John Baldessari"
"186311","Franz Erhard Walther"
"186311","Jon Rafman"
"186311","Liam Gillick"
"186311","Philippe Parreno"
"186311","Terry Adkins"
"31634","Ron Gorchov"
"108898","Allan McCollum"
"108898","Allen Ruppersberg"
"108898","Dana Schutz"
"108898","Martha Rosler"
"108898","Rirkrit Tiravanija"
"108898","Tony Conrad"
"108898","Vanessa Beecroft"
"108921","Alfredo Jaar"
"108921","Allan McCollum"
"108921","Mark Dion"
"108921","Rirkrit Tiravanija"
"108921","Vito Acconci"
"109230","Allen Ruppersberg"
"109230","Larry Bell"
"109686","Allen Ruppersberg"
"109686","Andrea Zittel"
"109730","Allan McCollum"
"109730","Allen Ruppersberg"
"109730","Dana Schutz"
"109730","Martha Rosler"
"109730","Rirkrit Tiravanija"
"109730","Tony Conrad"
"109730","Vanessa Beecroft"
"109971","Allen Ruppersberg"
"109971","Jon Rafman"
"449486","André Masson"
"449486","Birgit Jürgenssen"
"449486","Brigitte Kowanz"
"449486","Bruce Nauman"
"449486","Cagnaccio di San Pietro"
"449486","Daniel Spoerri"
"449486","Dieter Roth"
"449486","Georg Baselitz"
"449486","Germaine Richier"
"449486","Günter Brus"
"449486","Helen Chadwick"
"449486","Johannes Itten"
"449486","Joseph Beuys"
"449486","Julian Opie"
"449486","Jörg Immendorff"
"449486","Kiki Kogelnik"
"449486","Lothar Baumgarten"
"449486","Nam June Paik"
"449486","Nancy Graves"
"449486","Otto Muehl"
"449486","Paul McCarthy"
"449486","Susan Rothenberg"
"449486","VALIE EXPORT"
"449486","Wifredo Lam"
"449486","Öyvind Fahlström"
"449204","Andy Goldsworthy"
"449204","Andy Warhol"
"449204","Dennis Oppenheim"
"449204","George Segal"
"449204","Magdalena Abakanowicz"
"449204","Robert Rauschenberg"
"449204","Sigmar Polke"
"378697","Albert Oehlen"
"378697","Albert Renger-Patzsch"
"378697","Alberto Giacometti"
"378697","Alexander Calder"
"378697","Alighiero Boetti"
"378697","Allan Kaprow"
"378697","Andy Warhol"
"378697","Arnulf Rainer"
"378697","Bruce Nauman"
"378697","Charlotte Moorman"
"378697","Constantin Brancusi"
"378697","Cy Twombly"
"378697","Dan Flavin"
"378697","Daniel Buren"
"378697","Donald Judd"
"378697","Evelyne Axell"
"378697","Fernand Léger"
"378697","Francis Bacon"
"378697","Franz West"
"378697","Félix González-Torres"
"378697","Geta Brătescu"
"378697","Gianfranco Baruchello"
"378697","Günter Brus"
"378697","Hamish Fulton"
"378697","Hans Richter"
"378697","Henri Matisse"
"378697","Ion Grigorescu"
"378697","James Rosenquist"
"378697","Jo Baer"
"378697","Joan Jonas"
"378697","Joan Miró"
"378697","John Baldessari"
"378697","Joseph Beuys"
"378697","Judith Hopf"
"378697","Kara Walker"
"378697","Kiki Kogelnik"
"378697","Le Corbusier"
"378697","Louis Soutter"
"378697","Louise Bourgeois"
"378697","László Moholy-Nagy"
"378697","Marcel Duchamp"
"378697","Marina Abramović"
"378697","Mario Merz"
"378697","Mark Dion"
"378697","Martial Raysse"
"378697","Max Ernst"
"378697","Michelangelo Pistoletto"
"378697","Mladen Stilinović"
"378697","Monika Baer"
"378697","Nam June Paik"
"378697","Oskar Kokoschka"
"378697","Oskar Schlemmer"
"378697","Otto Muehl"
"378697","Pablo Picasso"
"378697","Paul Klee"
"378697","Paul Thek"
"378697","Piero Manzoni"
"378697","Piet Mondrian"
"378697","Richard Hamilton"
"378697","Richard Long"
"378697","Robert Delaunay"
"378697","Robert Morris"
"378697","Robert Smithson"
"378697","Sigmar Polke"
"378697","Sophie Taeuber-Arp"
"378697","Tess Jaray"
"378697","Victor Brauner"
"378697","Wifredo Lam"
"378697","Willi Baumeister"
"378697","Yayoi Kusama"
"378697","Yoko Ono"
"378697","Yto Barrada"
"378697","Yves Klein"
"378697","Zineb Sedira"
"248338","Francisco de Goya"
"248338","Marlene Dumas"
"248338","Max Beckmann"
"248338","Pablo Picasso"
"248338","Rembrandt"
"248338","William Kentridge"
"232020","Jörg Immendorff"
"194898","Adrian Piper"
"194898","Ashley Bickerton"
"194898","Blinky Palermo"
"194898","Bruce Nauman"
"194898","Chris Burden"
"194898","Christian Boltanski"
"194898","Cildo Meireles"
"194898","Dan Graham"
"194898","David Goldblatt"
"194898","Dieter Roth"
"194898","Hiroshi Sugimoto"
"194898","Jeff Koons"
"194898","John Baldessari"
"194898","Joseph Kosuth"
"194898","Jörg Immendorff"
"194898","Luigi Ontani"
"194898","Lynda Benglis"
"194898","Marcel Broodthaers"
"194898","Marlene Dumas"
"194898","Martha Rosler"
"194898","Michelangelo Pistoletto"
"194898","Paul McCarthy"
"194898","Piero Manzoni"
"194898","Pierre Huyghe"
"194898","Robert Filliou"
"194898","Sigmar Polke"
"194898","Stanley Brouwn"
"194898","Thomas Hirschhorn"
"194898","Valie Export"
"194898","Vito Acconci"
"176525","Dieter Roth"
"176525","Erró"
"176525","Franz Erhard Walther"
