"name","birth_place","birth_year","death_place","death_year","gender","citizenship","occupation_str","eflux_original_names","painterpalette_original_names","Nationality","movement","styles","styles_extended","StylesCount","StylesYears","Art500k_Movements","FirstYear","LastYear","wikiart_pictures_count","PaintingsExhibitedAt","PaintingsExhibitedAtCount","PaintingSchool","Influencedby","Influencedon","Pupils","Teachers","FriendsandCoworkers","locations","locations_with_years","artist_match_A"
"Bracha L. Ettinger","Tel Aviv",1948,,,"female","France","photographer,painter,psychoanalyst,philosopher","Bracha L. Ettinger","Bracha L. Ettinger","French,Jewish,Israeli","New European Painting","New European Painting","{New European Painting:21}","{New European Painting:21}","New European Painting:1991-2009","{New European Painting:21}",1991,2009,21,,,,,,,,,"[]","[]","Bracha L. Ettinger"
"Mikalojus Konstantinas Ciurlionis","Varėna",1875,"Warsaw",1911,"male","Russian Empire","composer,painter","Mikalojus Konstantinas Čiurlionis","Mikalojus Konstantinas Ciurlionis","Lithuanian","Symbolism","Symbolism","{Symbolism:168}","{Symbolism:168}","Symbolism:1903-1909","{Art Nouveau:1},{Symbolism:169}",1903,1909,168,"Kaunas, Lithuania","{Kaunas:7},{Lithuania:7}",,"allegories-and-symbols,boats-and-ships,",,"The cycle of 5 paintings Deluge,",,"Artists2/Mikalojus Ciurlionis/Wrath Ii 1904.jpg,","[]","[]","Mikalojus Konstantinas Ciurlionis"
"M.F. Husain","Pandharpur",1915,"London",2011,"male","India","screenwriter,photographer,politician,artist,painter,film director,film producer","M.F. Husain","M.F. Husain",,"Cubism","Abstract Art, Abstract Expressionism, Cubism, Cubo-Expressionism, Expressionism, Pop Art","{Abstract Art:2},{Abstract Expressionism:12},{Cubism:21},{Cubo-Expressionism:4},{Expressionism:34},{Pop Art:5}",,,,1950,1983,78,"India","{India:25}",,,,,,,"['India']","[]","M. F. Husain"
"Gerhard von Graevenitz","Schilde",1934,"Switzerland",1983,"male","Germany","photographer,painter","Gerhard von Graevenitz","Gerhard von Graevenitz","German","Kinetic art","Kinetic Art, Op Art","{Kinetic Art:6},{Op Art:7}","{Kinetic Art:6}, {Op Art:7}","Kinetic Art:1962-1973,Op Art:1959-1973","{Kinetic art,Op Art:13}",1959,1973,13,,,"Zero",,,,,,"['Amsterdam']","['Amsterdam:1970-1970']","Gerhard Von Graevenitz"
"Karl Schmidt-Rottluff","Rottluff",1884,"West Berlin",1976,"male","Germany","illustrator,Q686932,painter,sculptor,university teacher,graphic artist,designer,art collector,drawer,lithographer","Karl Schmidt-Rottluff","Karl Schmidt-Rottluff","German","Expressionism","Expressionism, Neo-Impressionism","{Expressionism:17},{Neo-Impressionism:4}","{Expressionism:20}","Expressionism:1906-1969","{Expressionism:20}",1906,1969,21,,,"Die Brücke (The Bridge),Degenerate art",,,,,,"[]","[]","Karl Schmidt Rottluff"
"Inigo Manglano-Ovalle","Madrid",1961,,,"male","Spain","photographer,artist,sculptor,installation artist,video artist","Inigo Manglano-Ovalle","Inigo Manglano-Ovalle",,"Post-Minimalism","Neo-Geo, Post-Minimalism","{Neo-Geo:3},{Post-Minimalism:10}",,,"{Public art:3},{Kinetic art:1},{Contemporary art:1}",2013,2013,13,,,,,,,,,"['Chicago']","[]","Inigo Manglano Ovalle"
"Jean-Pierre Raynaud",,1947,,,"male","France","politician,pensioner","Jean-Pierre Raynaud","Jean-Pierre Raynaud","French","Minimalism","Minimalism, Nouveau Réalisme","{Minimalism:6},{Nouveau Réalisme:4}","{Nouveau Réalisme:4}, {Minimalism:6}","Nouveau Réalisme:1966-2011,Minimalism:1974-1990","{Nouveau Réalisme,Minimalism:10}",1966,2011,10,,,,,,,,,"[]","[]","Jean Pierre Raynaud"
"Laszlo Moholy-Nagy","Bácsborsód",1895,"Chicago",1946,"male","Hungary","photographer,architect,graphic designer,painter,sculptor,film director,designer","Laszlo Moholy-Nagy","Laszlo Moholy-Nagy","Hungarian","Constructivism","Constructivism, Dada, Expressionism, Kinetic Art, Unknown","{Constructivism:32},{Dada:32},{Expressionism:2},{Kinetic Art:3},{Unknown:1}","{Dada:33}, {Constructivism:34}, {Kinetic Art:3}, {Expressionism:2}","Dada:1919-1946,Constructivism:1920-1946,Kinetic Art:1930-1936,Expressionism:1919-1920","{Bauhaus style:1},{Good Design:1},{Modern art:1},{Constructivism:73}",1919,1946,70,"Germany, Denmark, Hague, Paris,Netherlands, France,Berlin","{Berlin:3},{Germany:3},{Hague:1},{Netherlands:1},{Paris:1},{France:1},{Denmark:1}","Bauhaus,Degenerate art","Man Ray,",,,,"Kazimir Malevich,","[]","[]","Laszlo Moholy Nagy"
"Beatriz González","Bucaramanga",1932,,,"female","Colombia","engraver,curator,painter,sculptor,art historian,art critic,researcher,explorer,singer","Beatriz Gonzalez","Beatriz González",,"Pop Art","Neo-Expressionism, Outsider art, Pop Art","{Neo-Expressionism:7},{Outsider art:1},{Pop Art:11}",,,"{Contemporary art:1}",1994,1994,19,,,,,,,,,"[]","[]","Beatriz Gonzalez"
"John McLaughlin","Doncaster",1942,"Los Angeles",1976,"male","United Kingdom","songwriter,guitarist,jazz musician,recording artist,translator,painter,linguist,drawer,television presenter,journalist,politician,actor,television actor,association football player,Catholic priest,Catholic bishop,researcher,basketball player,American football player","JOHN MCLAUGHLIN","John McLaughlin","American","Minimalism","Abstract Art, Minimalism, Neoplasticism","{Abstract Art:3},{Minimalism:25},{Neoplasticism:1}","{Abstract Art:3}, {Minimalism:25}, {Neoplasticism:1}","Abstract Art:1947-1947,Minimalism:1953-1974,Neoplasticism:1948-1948","{Minimalism:29}",1947,1974,29,,,"Four Abstract Classicists",,,,,,"[]","[]","John Mclaughlin"
